[INFO] Mi 02.07.2025 03:04:20 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:04:30 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:04:40 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:04:50 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:05:00 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:05:10 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:05:20 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:05:30 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:05:40 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:05:50 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:06:00 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:06:10 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:06:20 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:06:30 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:06:40 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:06:50 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:07:00 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:07:10 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:07:20 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:07:30 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:07:40 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:07:50 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:08:00 CEST → Läuft noch: N=921600000, P=4
[03:08:04] P=4 done
[03:08:04] Messen mit P=5 ...[INFO] Mi 02.07.2025 03:08:10 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:08:20 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:08:30 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:08:40 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:08:50 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:09:00 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:09:10 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:09:20 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:09:30 CEST → Läuft noch: N=921600000, P=5
